538,8442
632,8132
639,6608
670,8308
682,9732
686,9155
687,5735
690,2162
699,7715
700,1348
714,3772
716,7378
719,6398
722,7038
728,5048
731,9755
745,3998
746,7048
759,6328
775,5105
777,702
788,2455
802,4145
803,7028
813,6988
815,1152
819,8452
820,1102
829,9722
831,5462
842,9165
857,3452
859,2122,8715
861,5918,8772
868,18
874,7132
882,8785
884,792
889,3785
894,4358
903,8058
914,4792
915,195
932,2192
940,9105
947,2098
954,4328,5688
957,6175
958,752,2678
965,435
971,2752,4415
974,1462
996,9018
997,5422
1001,7918
1015,3698
1024,7122
1025,2795
1028,3442
1030,3608
1034,6618
1036,9968
1038,1722
1043,5058
1044,9782
1045,28
1052,5762
1062,2998,8795,9425
1063,4425
1068,782
1078,9762
1082,1088
1084,6628
1096,308
1097,6152
1103,7162
1104,3348
1105,3705
1109,165
1110,1988
1120,9125
1124,3028
1130,5472
1135,4445
1140,1368,2472
1141,2698
1142,9698
1145,5442
1153,6725
1164,3172
1177,7702
1178,1435
1188,8125
1193,9415
1199,6698
1208,8782
1209,5358
1212,2038,4668
1213,2195,2948
1215,8028
1219,6018
1221,7185
1231,1112
1236,4078
1237,1308
1238,1048
1242,5948
1247,6908
1254,2938
1258,5432
1262,5008
1265,5698
1277,6775
1278,4412
1287,442
1292,8475
1293,4402
1297,5795
1299,1485
1327,6785
1335,2988
1340,6608
1346,2455
1354,7938
1357,4938
1367,4318
1372,4455
1375,9378
1381,9495
1385,1018
1390,6492
1392,5628
1393,6098,7078
1406,9482
1409,6638
1421,9078
1427,6115
1430,1445
1432,6732
1438,3928
1446,9492
1454,1142
1460,7105
1467,378
1468,6998
1489,9028
1492,3465
1499,8435,8668
1505,9475
1507,9115
1509,3752
1510,1735
1517,4442
1521,5452
1527,475
1529,7618
1531,938,7425
1532,1192
1534,2135
1535,6068
1536,8792
1547,1715
1551,3165
1554,7175
1556,2432
1569,8712
1586,8688
1588,4175
1593,4638
1594,48
1598,3648
1603,7495
1610,4338
1615,5465,6182
1619,668
1622,9755
1637,8735
1639,9432
1646,1358
1653,18
1660,9038
1667,3038
1669,1422
1672,4068
1674,6765
1677,1175
1687,9445
1695,6132
1709,3948
1712,1165
1728,8648
1729,5348
1733,2958
1736,3008
1743,98
1749,4132
1752,688
1754,1068
1758,9745
1770,4185
1773,4155
1775,7338
1784,6978
1792,2008
1793,6465
1808,175
1809,8465
1817,8762
1821,4078
1828,4688
1831,6762
1835,6442
1836,6618
1838,5088
1839,2608
1843,9958
1850,4492
1852,9422
1853,5948
1855,9402
1857,988
1859,702,9628
1861,9008
1863,2425
1880,7152
1884,112,8132
1887,5608
1890,785
1892,1472
1894,3445
1900,5482,7755
1901,8308
1929,9785
1931,1155
1937,3988
1953,462,1958,3122
1960,4358
1974,1432,4698
1976,2402
1994,2165,5772,9105
1998,5412
2001,5098
2005,5152
2008,8462
2009,765
2012,2182
2016,2455,3088
2017,6358
2022,1135
2029,7442
2032,8742
2033,3618
2035,2155
2036,8402
2040,5475
2051,1105
2052,2152
2053,1628
2060,6648
2062,7038
2067,3415
2077,2648
2089,2775
2095,8908
2101,4792
2102,4435
2110,1442,2422,2795
2112,8732
2117,9732
2131,495,3175,8432
2133,7752
2137,4195
2145,4378
2158,68
2163,9978
2168,7112
2170,8,9018
2182,6038
2192,6608
2194,8068
2201,308,8715
2209,6658,6712
2212,2755,6495
2222,9358
2223,1792
2233,1338
2240,8115
2242,3338
2245,5155
2250,5998
2251,4145
2253,7415
2255,3475
2265,2368
2270,3702,5958
2272,6172
2275,698,8628
2277,3772
2281,8175
2282,5415
2283,9155
2306,9795
2311,9948
2312,5105
2314,5058
2324,2722
2331,2495
2337,4112
2341,5398
2356,2435
2360,6348
2365,192
2366,9722
2367,5752
2369,3472
2370,7918
2371,4745
2380,5735
2384,3028
2394,3135
2397,7378
2399,722
2402,6722
2408,8422
2411,5628,9918
2412,2485
2418,7485
2421,7678
2427,1122
2430,6998
2440,4098,8028
2444,7688
2448,2785
2461,3068
2487,3172
2488,1308
2492,5318
2497,2782
2499,6908
2501,9765
2505,745
2506,8938
2511,1495
2512,6735
2516,2948
2522,1435
2524,3038
2536,7105
2540,762,1038
2542,3608
2557,6398
2560,135
2568,4648
2576,2018
2582,2688
2584,5688
2591,1088,1928
2593,3732
2595,6938
2603,2698,4958
2606,3785
2609,4088
2615,1702
2629,3358,8465
2635,5462
2638,1048
2647,7078,9425
2649,1155
2657,1485
2660,7175
2667,6432
2671,3452
2688,6195
2692,6058
2697,792
2698,2752,7328,9755
2699,175
