ID,startBin#,endBin#,width(bins),totalSpikeCount,peakBin,peakHeight(spikes),Interval(bins)
974,2067860,2067884,25,101083,2067873,6971,306
975,2068285,2068308,24,102189,2068297,7133,424
976,2068896,2068919,24,102013,2068909,7229,612
977,2069860,2069883,24,102061,2069873,7240,964
978,2071141,2071164,24,101685,2071154,7028,1281
979,2071427,2071451,25,96700,2071440,6495,286
980,2072363,2072386,24,101726,2072376,7064,936
981,2075883,2075906,24,101673,2075896,7008,3520
982,2077422,2077445,24,101681,2077434,7001,1538
983,2077849,2077873,25,101485,2077862,7037,428
984,2080049,2080072,24,101897,2080062,7168,2200
985,2080320,2080344,25,97846,2080334,6614,272
986,2081453,2081476,24,101940,2081466,7133,1132
987,2081972,2081996,25,101947,2081985,7178,519
988,2084292,2084315,24,101899,2084305,7228,2320
989,2087413,2087436,24,101929,2087425,7220,3120
990,2087852,2087875,24,102012,2087864,7088,439
991,2089438,2089461,24,101937,2089451,7139,1587
992,2089817,2089841,25,102191,2089830,7124,379
993,2091238,2091261,24,101922,2091251,7214,1421
994,2091484,2091508,25,96011,2091497,6386,246
995,2093322,2093345,24,101957,2093334,7164,1837
996,2094438,2094461,24,101987,2094451,7196,1117
997,2095132,2095155,24,101912,2095144,7163,693
998,2097492,2097515,24,101911,2097504,7167,2360
999,2100337,2100360,24,102915,2100350,7359,2846
1000,2100711,2100734,24,102639,2100724,7275,374
1001,2102149,2102172,24,102879,2102162,7363,1438
1002,2103500,2103522,23,102845,2103512,7414,1350
1003,2104712,2104735,24,102876,2104724,7286,1212
1004,2105518,2105540,23,102814,2105530,7381,806
1005,2107139,2107162,24,102861,2107151,7304,1621
1006,2107399,2107423,25,99412,2107413,6780,262
1007,2109535,2109558,24,102933,2109548,7333,2135
1008,2110012,2110035,24,102516,2110025,7247,477
1009,2111512,2111534,23,102793,2111524,7375,1499
1010,2113093,2113116,24,102760,2113105,7277,1581
1011,2113332,2113356,25,97308,2113345,6524,240
1012,2113737,2113760,24,102599,2113749,7215,404
1013,2114483,2114506,24,102809,2114496,7354,747
1014,2114852,2114875,24,102620,2114865,7272,369
1015,2115196,2115219,24,102592,2115209,7154,344
1016,2116316,2116339,24,102806,2116329,7288,1120
1017,2116931,2116954,24,102764,2116944,7273,615
1018,2118916,2118939,24,102774,2118929,7270,1985
1019,2120588,2120611,24,101987,2120600,7199,1671
1020,2124683,2124705,23,101933,2124695,7274,4095
1021,2125030,2125053,24,102245,2125043,7101,348
1022,2126073,2126096,24,101993,2126085,7199,1042
1023,2126467,2126490,24,102200,2126479,7106,394
1024,2127465,2127488,24,101990,2127478,7233,999
1025,2128167,2128189,23,101910,2128179,7244,701
1026,2128693,2128716,24,101943,2128706,7120,527
1027,2129136,2129159,24,102036,2129149,7131,443
1028,2130951,2130973,23,101967,2130963,7283,1814
1029,2131329,2131352,24,102217,2131341,7098,378
1030,2132639,2132662,24,101958,2132652,7210,1311
1031,2135173,2135196,24,101977,2135186,7250,2534
1032,2135945,2135968,24,102015,2135958,7214,772
1033,2138624,2138647,24,102031,2138637,7161,2679
1034,2139414,2139437,24,101986,2139427,7189,790
1035,2140646,2140669,24,102884,2140659,7377,1232
1036,2143049,2143071,23,102731,2143061,7393,2402
1037,2143460,2143483,24,102553,2143472,7232,411
1038,2143850,2143873,24,102572,2143863,7234,391
1039,2144247,2144270,24,102537,2144259,7210,396
1040,2145390,2145413,24,102822,2145403,7309,1144
1041,2145744,2145768,25,102626,2145757,7258,354
1042,2147746,2147769,24,102813,2147759,7374,2002
1043,2148623,2148646,24,102820,2148635,7315,876
1044,2150822,2150844,23,102755,2150834,7392,2199
1045,2153198,2153221,24,102723,2153211,7366,2377
1046,2154494,2154516,23,102758,2154506,7348,1295
1047,2157655,2157678,24,102726,2157668,7341,3162
1048,2160785,2160807,23,104829,2160797,7626,3129
1049,2161268,2161291,24,104069,2161281,7560,484
1050,2162875,2162897,23,104861,2162888,7551,1607
1051,2164596,2164619,24,104839,2164609,7643,1721
1052,2168445,2168468,24,104912,2168458,7606,3849
1053,2170283,2170305,23,106554,2170295,7869,1837
1054,2172100,2172122,23,106525,2172112,7884,1817
1055,2174881,2174903,23,106507,2174893,7890,2781
1056,2175669,2175691,23,106492,2175681,7844,788
1057,2176722,2176744,23,106490,2176734,7849,1053
1058,2176999,2177022,24,102567,2177012,7339,278
1059,2177746,2177768,23,106400,2177758,7845,746
1060,2178791,2178813,23,106502,2178803,7887,1045
1061,2179600,2179621,22,106378,2179612,7831,809
1062,2180271,2180293,23,106220,2180283,7853,671
1063,2181963,2181985,23,106329,2181975,7803,1692
1064,2182831,2182853,23,106335,2182843,7875,868
1065,2183168,2183190,23,103004,2183180,7475,337
1066,2183605,2183627,23,104864,2183617,7663,437
1067,2184003,2184026,24,104328,2184016,7563,399
1068,2184248,2184272,25,102178,2184261,7230,245
1069,2184762,2184784,23,105600,2184774,7776,513
1070,2189315,2189337,23,106378,2189327,7867,4553
1071,2189831,2189853,23,105594,2189843,7764,516
1072,2190695,2190717,23,105661,2190707,7714,864
1073,2192297,2192320,24,105655,2192309,7678,1602
1074,2195815,2195837,23,105657,2195827,7741,3518
1075,2196028,2196052,25,97756,2196041,6663,214
1076,2197635,2197657,23,105649,2197647,7721,1606
1077,2197831,2197856,26,95438,2197845,6427,198
1078,2198270,2198292,23,104121,2198282,7559,437
1079,2199155,2199177,23,105620,2199167,7756,885
1080,2199894,2199916,23,105473,2199906,7723,739
1081,2200864,2200886,23,105675,2200876,7730,970
1082,2201993,2202015,23,105727,2202005,7754,1129
1083,2204423,2204445,23,105685,2204435,7730,2430
1084,2205451,2205473,23,105660,2205463,7754,1028
1085,2206153,2206176,24,105575,2206166,7622,703
1086,2208574,2208596,23,105675,2208586,7766,2420
1087,2209246,2209269,24,105536,2209259,7632,673
1088,2209877,2209899,23,105386,2209889,7708,630
1089,2211473,2211495,23,106443,2211485,7797,1596
1090,2212980,2213002,23,106377,2212992,7825,1507
1091,2213559,2213581,23,105825,2213571,7735,579
1092,2214059,2214081,23,105280,2214072,7613,501
1093,2215150,2215172,23,106459,2215162,7854,1090
1094,2215785,2215807,23,106128,2215797,7811,635
1095,2216533,2216555,23,106192,2216545,7756,748
1096,2219009,2219031,23,106378,2219021,7849,2476
1097,2219224,2219248,25,99254,2219237,6824,216
1098,2220262,2220284,23,106291,2220274,7757,1037
1099,2221043,2221065,23,106144,2221055,7843,781
1100,2222507,2222529,23,106308,2222519,7817,1464
1101,2224217,2224239,23,106272,2224229,7886,1710
1102,2226377,2226399,23,106360,2226389,7840,2160
1103,2228265,2228287,23,106365,2228277,7760,1888
1104,2229016,2229038,23,106172,2229029,7732,752
1105,2229543,2229565,23,105293,2229556,7645,527
1106,2229835,2229857,23,102487,2229847,7309,291
1107,2230539,2230562,24,105987,2230551,7670,704
1108,2231112,2231134,23,105446,2231124,7770,573
1109,2232295,2232317,23,106084,2232307,7801,1183
1110,2232657,2232679,23,102919,2232669,7451,362
1111,2233128,2233150,23,104613,2233140,7660,471
1112,2234667,2234689,23,106129,2234679,7793,1539
1113,2234967,2234990,24,102613,2234980,7279,301
1114,2239005,2239027,23,106178,2239017,7819,4037
1115,2239299,2239322,24,102586,2239312,7239,295
1116,2239680,2239702,23,103196,2239692,7440,380
1117,2240500,2240523,24,104850,2240513,7579,821
1118,2241757,2241779,23,104847,2241769,7626,1256
1119,2242068,2242091,24,102570,2242081,7295,312
1120,2242541,2242563,23,103561,2242553,7506,472
1121,2243342,2243364,23,104813,2243354,7651,801
1122,2245952,2245974,23,104829,2245964,7668,2610
1123,2247580,2247602,23,104901,2247592,7638,1628
1124,2249247,2249269,23,104938,2249259,7681,1667
1125,2249915,2249938,24,104673,2249928,7588,669
1126,2250216,2250239,24,102568,2250229,7298,301
1127,2251145,2251167,23,104751,2251157,7652,928
1128,2253437,2253459,23,104748,2253449,7644,2292
1129,2254617,2254640,24,104601,2254630,7558,1181
1130,2255082,2255105,24,103316,2255094,7402,464
1131,2255686,2255708,23,104180,2255698,7514,604
1132,2256094,2256116,23,102708,2256106,7380,408
1133,2256856,2256878,23,104674,2256868,7658,762
1134,2258281,2258303,23,104751,2258293,7657,1425
1135,2258515,2258539,25,101072,2258528,7000,235
1136,2259312,2259334,23,104647,2259324,7621,796
1137,2260049,2260071,23,102598,2260061,7405,737
1138,2260399,2260422,24,102307,2260411,7202,350
1139,2261695,2261717,23,102694,2261707,7407,1296
1140,2263831,2263853,23,102699,2263843,7430,2136
1141,2264096,2264119,24,102126,2264109,7057,266
1142,2264816,2264838,23,102573,2264828,7389,719
1143,2267420,2267443,24,102756,2267433,7340,2605
1144,2269500,2269522,23,102784,2269512,7446,2079
1145,2270177,2270200,24,103426,2270190,7504,678
1146,2272233,2272255,23,103595,2272245,7522,2055
1147,2273417,2273439,23,103618,2273429,7530,1184
1148,2274468,2274490,23,103592,2274480,7549,1051
1149,2275377,2275399,23,103614,2275389,7566,909
1150,2276298,2276321,24,103639,2276311,7457,922
1151,2277538,2277560,23,103612,2277550,7501,1239
1152,2277812,2277835,24,102454,2277825,7106,275
1153,2278941,2278964,24,103699,2278954,7469,1129
1154,2280019,2280042,24,103493,2280032,7485,1078
1155,2280594,2280616,23,102984,2280606,7443,574
1156,2282070,2282092,23,103443,2282082,7498,1476
1157,2282551,2282573,23,102459,2282563,7401,481
1158,2286590,2286612,23,103558,2286602,7510,4039
1159,2287128,2287150,23,102779,2287140,7467,538
1160,2287946,2287968,23,103502,2287958,7474,818
1161,2289409,2289431,23,103506,2289421,7495,1463
1162,2289946,2289969,24,102792,2289959,7420,538
1163,2291357,2291380,24,103313,2291370,7450,1411
1164,2292241,2292263,23,103371,2292253,7486,883
1165,2293485,2293507,23,103417,2293497,7499,1244
1166,2294923,2294946,24,103382,2294936,7423,1439
1167,2295177,2295200,24,102008,2295190,7084,254
1168,2297567,2297589,23,103370,2297579,7506,2389
1169,2298299,2298322,24,103250,2298311,7439,732
1170,2298697,2298720,24,102194,2298710,7373,399
1171,2299945,2299967,23,103324,2299957,7511,1247
1172,2301177,2301200,24,103349,2301189,7404,1232
1173,2301508,2301531,24,102457,2301521,7311,332
1174,2303456,2303479,24,103297,2303468,7435,1947
1175,2306605,2306627,23,103281,2306617,7496,3149
1176,2307337,2307360,24,103182,2307350,7417,733
1177,2308634,2308657,24,103335,2308647,7479,1297
1178,2308915,2308938,24,102445,2308928,7193,281
1179,2310022,2310044,23,106013,2310034,7727,1106
1180,2310691,2310714,24,105693,2310704,7666,670
1181,2311226,2311248,23,104737,2311238,7644,534
1182,2311986,2312009,24,105895,2311999,7711,761
1183,2312648,2312670,23,105568,2312660,7681,661
1184,2313237,2313259,23,105227,2313249,7702,589
1185,2315485,2315507,23,106010,2315497,7772,2248
1186,2316007,2316030,24,104696,2316020,7575,523
1187,2316304,2316327,24,102568,2316317,7272,297
1188,2317207,2317229,23,105940,2317219,7792,902
1189,2317654,2317676,23,103489,2317666,7563,447
1190,2318297,2318320,24,105658,2318310,7725,644
1191,2318713,2318736,24,103108,2318726,7492,416
1192,2321652,2321675,24,102425,2321665,7365,2939
1193,2322112,2322135,24,101839,2322125,7271,460
1194,2325840,2325863,24,102453,2325852,7348,3727
1195,2326847,2326869,23,102304,2326859,7341,1007
1196,2329924,2329946,23,102377,2329936,7345,3077
1197,2330312,2330335,24,102748,2330325,7345,389
1198,2331379,2331402,24,105945,2331391,7684,1066
1199,2332576,2332599,24,105989,2332589,7700,1198
1200,2333134,2333157,24,104974,2333147,7575,558
1201,2333552,2333574,23,103029,2333564,7478,417
1202,2335110,2335132,23,105814,2335122,7779,1558
1203,2336199,2336222,24,106036,2336211,7705,1089
1204,2337467,2337489,23,106012,2337479,7785,1268
1205,2338120,2338142,23,105570,2338132,7741,653
1206,2338900,2338922,23,105791,2338912,7728,780
1207,2339659,2339682,24,105853,2339672,7708,760
1208,2340467,2340489,23,102868,2340479,7458,807
1209,2340779,2340802,24,102445,2340791,7180,312
1210,2342662,2342685,24,103005,2342675,7394,1884
1211,2343510,2343533,24,102947,2343523,7451,848
1212,2344560,2344582,23,102928,2344572,7448,1049
1213,2346447,2346470,24,103000,2346459,7410,1887
1214,2348401,2348423,23,102971,2348413,7448,1954
1215,2349125,2349147,23,102793,2349137,7448,724
1216,2350917,2350940,24,104303,2350930,7516,1793
1217,2351818,2351840,23,104254,2351830,7582,900
1218,2352450,2352473,24,103840,2352463,7481,633
1219,2352734,2352757,24,102524,2352747,7256,284
1220,2353480,2353502,23,104133,2353492,7628,745
1221,2354904,2354926,23,104334,2354916,7579,1424
1222,2355587,2355610,24,104038,2355599,7499,683
1223,2356738,2356760,23,104347,2356750,7628,1151
1224,2357559,2357581,23,104248,2357571,7623,821
1225,2357890,2357913,24,102468,2357903,7272,332
1226,2358205,2358228,24,102537,2358217,7253,314
1227,2358900,2358922,23,104046,2358912,7582,695
1228,2360017,2360040,24,102042,2360030,7308,1118
1229,2361256,2361279,24,102026,2361269,7271,1239
1230,2363186,2363209,24,102035,2363198,7272,1929
1231,2363733,2363756,24,101804,2363746,7225,548
1232,2364878,2364901,24,102077,2364891,7331,1145
1233,2365325,2365348,24,101693,2365338,7248,447
1234,2365918,2365941,24,101832,2365931,7231,593
1235,2367564,2367587,24,102032,2367577,7283,1646
1236,2369250,2369272,23,102031,2369262,7353,1685
1237,2370335,2370357,23,102030,2370347,7366,1085
1238,2371694,2371716,23,102019,2371706,7330,1359
1239,2371987,2372011,25,102322,2372000,7118,294
1240,2372611,2372633,23,101855,2372623,7333,623
1241,2373031,2373054,24,101724,2373044,7204,421
1242,2374154,2374177,24,102025,2374166,7296,1122
1243,2374993,2375016,24,102033,2375006,7281,840
1244,2376000,2376022,23,101982,2376012,7345,1006
1245,2376486,2376509,24,101705,2376499,7311,487
1246,2377241,2377264,24,101990,2377254,7258,755
1247,2377960,2377983,24,101948,2377973,7242,719
1248,2380774,2380797,24,101666,2380787,7265,2814
1249,2381247,2381270,24,101636,2381259,7169,472
1250,2382324,2382347,24,101697,2382337,7272,1078
1251,2384352,2384375,24,101694,2384365,7206,2028
1252,2385549,2385572,24,101720,2385561,7176,1196
1253,2386508,2386531,24,101696,2386520,7209,959
1254,2386785,2386809,25,101468,2386798,6970,278
1255,2387751,2387774,24,101726,2387764,7196,966
1256,2388454,2388477,24,101685,2388467,7236,703
1257,2389340,2389362,23,101654,2389352,7282,885
1258,2390633,2390656,24,101648,2390645,7173,1293
1259,2391148,2391171,24,101617,2391161,7105,516
1260,2393084,2393107,24,101654,2393097,7204,1936
1261,2393540,2393563,24,101563,2393552,7130,455
1262,2394338,2394360,23,101567,2394350,7236,798
1263,2396493,2396516,24,101628,2396505,7163,2155
1264,2397229,2397252,24,101651,2397241,7230,736
1265,2398361,2398384,24,101616,2398374,7192,1133
1266,2399387,2399410,24,101667,2399400,7214,1026
1267,2399860,2399883,24,101588,2399873,7125,473
1268,2400345,2400368,24,101575,2400358,7106,485
1269,2401488,2401511,24,101569,2401500,7158,1142
1270,2401947,2401970,24,101554,2401960,7050,460
1271,2403234,2403256,23,101538,2403246,7199,1286
1272,2404610,2404633,24,101606,2404623,7163,1377
1273,2405557,2405580,24,101592,2405569,7179,946
1274,2406566,2406589,24,101588,2406579,7172,1010
1275,2407831,2407854,24,101585,2407844,7185,1265
1276,2408257,2408280,24,101569,2408270,7065,426
1277,2408805,2408828,24,101587,2408817,7142,547
1278,2410646,2410669,24,101565,2410659,7131,1842
1279,2411046,2411069,24,101470,2411058,7038,399
1280,2413142,2413165,24,101543,2413155,7125,2097
1281,2414230,2414253,24,101577,2414243,7096,1088
1282,2414493,2414517,25,97106,2414506,6529,263
1283,2414865,2414889,25,101484,2414878,7050,372
1284,2417265,2417288,24,101553,2417277,7154,2399
1285,2418985,2419008,24,101549,2418997,7099,1720
1286,2420370,2420393,24,101605,2420382,7144,1385
1287,2421483,2421506,24,101581,2421496,7213,1114
1288,2421825,2421848,24,101513,2421838,7021,342
1289,2422385,2422408,24,101573,2422398,7181,560
1290,2422692,2422716,25,101316,2422705,6987,307
1291,2423365,2423388,24,101551,2423378,7185,673
1292,2423896,2423919,24,101561,2423908,7152,530
1293,2424450,2424473,24,101600,2424463,7132,555
1294,2426119,2426142,24,101588,2426132,7175,1669
1295,2428508,2428531,24,101629,2428521,7178,2389
1296,2429192,2429215,24,101595,2429205,7136,684
1297,2429777,2429800,24,101583,2429790,7201,585
1298,2430709,2430732,24,101534,2430721,7032,931
1299,2431275,2431298,24,101508,2431287,7020,566
1300,2432702,2432725,24,101565,2432714,7042,1427
1301,2434276,2434299,24,101527,2434289,7092,1575
1302,2434843,2434866,24,101526,2434855,7022,566
1303,2435484,2435508,25,101582,2435497,7086,642
1304,2436795,2436818,24,101574,2436808,7059,1311
1305,2437693,2437717,25,101574,2437706,7107,898
1306,2438795,2438818,24,101545,2438807,7017,1101
1307,2440007,2440031,25,101570,2440020,7098,1213
1308,2440594,2440617,24,101520,2440606,7016,586
1309,2441395,2441418,24,101518,2441408,7095,802
1310,2441924,2441948,25,101558,2441937,7076,529
1311,2442603,2442626,24,101540,2442616,7065,679
1312,2444073,2444097,25,101606,2444086,7134,1470
1313,2444460,2444484,25,101435,2444473,6993,387
1314,2445216,2445239,24,101511,2445228,7065,755
1315,2446005,2446028,24,101558,2446018,7091,790
1316,2446557,2446581,25,101590,2446570,7086,552
1317,2447633,2447656,24,101536,2447645,7007,1075
1318,2448821,2448844,24,101534,2448833,7039,1188
1319,2449333,2449356,24,101498,2449345,7039,512
1320,2450017,2450040,24,101427,2450030,6921,685
1321,2450911,2450935,25,101506,2450924,6913,894
1322,2451788,2451812,25,101496,2451801,6969,877
1323,2452967,2452991,25,101438,2452980,6963,1179
1324,2453476,2453500,25,101422,2453489,6946,509
1325,2454771,2454795,25,101457,2454784,6981,1295
1326,2458356,2458379,24,101445,2458369,6949,3585
1327,2462975,2462998,24,101517,2462988,7049,4619
1328,2465320,2465343,24,101495,2465333,6965,2345
1329,2465604,2465628,25,97399,2465617,6573,284
1330,2466155,2466178,24,101496,2466167,6955,550
1331,2468321,2468344,24,101538,2468334,7049,2167
1332,2469411,2469434,24,101524,2469424,7022,1090
1333,2470028,2470051,24,101552,2470040,7125,616
1334,2470553,2470576,24,101557,2470566,7061,526
1335,2471814,2471837,24,101583,2471827,7168,1261
1336,2472115,2472138,24,100804,2472128,6848,301
1337,2473040,2473063,24,101548,2473053,7197,925
1338,2475254,2475277,24,101598,2475267,7149,2214
1339,2477068,2477091,24,101606,2477081,7162,1814
1340,2477910,2477933,24,101566,2477922,7080,841
1341,2478675,2478698,24,101587,2478688,7165,766
1342,2479437,2479460,24,101592,2479450,7161,762
1343,2480434,2480457,24,101508,2480447,7079,997
1344,2481496,2481519,24,101546,2481509,7139,1062
1345,2482642,2482665,24,101578,2482655,7067,1146
1346,2485492,2485515,24,101557,2485505,7088,2850
1347,2485880,2485904,25,101502,2485893,7025,388
1348,2486365,2486388,24,101511,2486378,7069,485
1349,2487136,2487159,24,101529,2487149,7060,771
1350,2487800,2487824,25,101550,2487813,7135,664
1351,2488720,2488743,24,101569,2488733,7046,920
1352,2489163,2489187,25,101542,2489176,7064,443
1353,2493259,2493282,24,101535,2493272,7055,4096
1354,2494220,2494243,24,101515,2494233,7005,961
1355,2494715,2494739,25,101531,2494728,7074,495
1356,2495265,2495289,25,101560,2495278,7064,550
1357,2495653,2495677,25,101457,2495666,6978,388
1358,2496379,2496403,25,101558,2496392,7067,726
1359,2497064,2497087,24,101538,2497077,7073,685
1360,2498142,2498166,25,101553,2498155,7108,1078
1361,2499111,2499134,24,101514,2499124,7077,969
1362,2500190,2500213,24,101537,2500202,7017,1078
1363,2502606,2502629,24,101506,2502619,7080,2417
1364,2503220,2503243,24,101525,2503233,7109,614
1365,2505362,2505386,25,101577,2505375,7108,2142
1366,2507828,2507851,24,101509,2507841,7100,2466
1367,2509656,2509679,24,101527,2509669,7097,1828
1368,2511034,2511057,24,101589,2511047,7172,1378
1369,2512118,2512141,24,101613,2512131,7174,1084
1370,2512965,2512988,24,101615,2512978,7117,847
1371,2513594,2513617,24,101579,2513607,7204,629
1372,2515943,2515966,24,101598,2515956,7137,2349
1373,2517221,2517244,24,101599,2517234,7113,1278
1374,2517981,2518003,23,101537,2517993,7210,759
1375,2519695,2519718,24,101641,2519708,7134,1715
1376,2520277,2520300,24,101640,2520290,7161,582
1377,2520759,2520782,24,101555,2520772,7218,482
1378,2521797,2521820,24,101642,2521809,7248,1037
1379,2522699,2522722,24,101674,2522712,7289,903
1380,2524801,2524824,24,101668,2524813,7222,2101
1381,2525571,2525594,24,101682,2525584,7167,771
1382,2528313,2528336,24,101644,2528325,7166,2741
1383,2531072,2531095,24,101871,2531084,7259,2759
1384,2532386,2532409,24,101925,2532399,7356,1315
1385,2534221,2534244,24,101901,2534233,7262,1834
1386,2534906,2534928,23,101789,2534918,7344,685
1387,2536823,2536845,23,101876,2536835,7349,1917
1388,2538503,2538526,24,101921,2538515,7282,1680
1389,2540380,2540402,23,103610,2540392,7565,1877
1390,2540673,2540696,24,102441,2540686,7302,294
1391,2542796,2542818,23,103718,2542808,7572,2122
1392,2543600,2543622,23,103636,2543612,7560,804
1393,2543885,2543908,24,102470,2543898,7190,286
1394,2544746,2544768,23,103675,2544758,7489,860
1395,2545115,2545138,24,102179,2545128,7248,370
1396,2545777,2545799,23,103285,2545789,7507,661
1397,2548518,2548540,23,103752,2548530,7500,2741
1398,2553521,2553543,23,103697,2553533,7537,5003
1399,2554312,2554335,24,103626,2554324,7473,791
1400,2554922,2554945,24,103077,2554935,7383,611
1401,2555270,2555293,24,102252,2555283,7219,348
1402,2556864,2556887,24,103648,2556876,7467,1593
1403,2557573,2557595,23,103367,2557585,7506,709
1404,2557942,2557965,24,102138,2557955,7246,370
1405,2562171,2562193,23,106860,2562183,7834,4228
1406,2563601,2563624,24,106834,2563614,7767,1431
1407,2564272,2564294,23,106496,2564284,7844,670
1408,2564737,2564759,23,104171,2564749,7640,465
1409,2565086,2565108,23,102580,2565098,7410,349
1410,2565453,2565475,23,102621,2565465,7384,367
1411,2566370,2566392,23,106713,2566382,7819,917
1412,2567596,2567618,23,106829,2567608,7794,1226
1413,2568591,2568613,23,106842,2568603,7886,995
1414,2569476,2569498,23,106793,2569488,7843,885
1415,2569714,2569737,24,102115,2569727,7064,239
1416,2570233,2570255,23,102380,2570245,7400,518
1417,2571690,2571712,23,103318,2571702,7529,1457
1418,2572215,2572237,23,102391,2572227,7440,525
1419,2574017,2574040,24,103441,2574030,7496,1803
1420,2574443,2574465,23,101890,2574455,7355,425
1421,2575583,2575606,24,103388,2575595,7482,1140
1422,2577302,2577324,23,103298,2577314,7495,1719
1423,2578087,2578110,24,103187,2578099,7412,785
1424,2578555,2578577,23,102014,2578567,7381,468
1425,2579194,2579216,23,102936,2579206,7505,639
1426,2580987,2581010,24,102339,2581000,7311,1794
1427,2581370,2581393,24,101773,2581383,7190,383
1428,2582563,2582585,23,102320,2582575,7411,1192
1429,2583738,2583760,23,102296,2583750,7407,1175
1430,2584881,2584904,24,102322,2584894,7315,1144
1431,2585218,2585241,24,102033,2585231,7257,337
1432,2589212,2589235,24,102324,2589224,7381,3993
1433,2590528,2590550,23,104714,2590540,7650,1316
1434,2591360,2591382,23,104649,2591372,7647,832
1435,2592360,2592382,23,104685,2592372,7641,1000
1436,2594242,2594264,23,104709,2594254,7624,1882
1437,2596890,2596912,23,104683,2596902,7604,2648
1438,2597486,2597508,23,103875,2597498,7574,596
1439,2598028,2598050,23,103335,2598040,7547,542
1440,2599350,2599372,23,104744,2599362,7636,1322
1441,2600136,2600158,23,106322,2600148,7825,786
1442,2601014,2601036,23,106325,2601026,7820,878
1443,2601798,2601820,23,106197,2601810,7771,784
1444,2602685,2602708,24,106455,2602698,7709,888
1445,2603109,2603132,24,102970,2603121,7428,423
1446,2603520,2603542,23,102777,2603532,7492,411
1447,2604719,2604741,23,106461,2604731,7794,1199
1448,2605210,2605232,23,104138,2605222,7583,491
1449,2606186,2606208,23,106463,2606198,7808,976
1450,2606606,2606629,24,102930,2606619,7401,421
1451,2607366,2607388,23,106219,2607378,7736,759
1452,2607679,2607702,24,102492,2607691,7308,313
1453,2608132,2608154,23,103495,2608144,7533,453
1454,2609070,2609093,24,106513,2609082,7729,938
1455,2609762,2609785,24,106082,2609775,7725,693
1456,2610488,2610510,23,101980,2610500,7348,725
1457,2611149,2611171,23,101946,2611161,7370,661
1458,2613582,2613605,24,102090,2613594,7298,2433
1459,2614064,2614086,23,101669,2614076,7302,482
1460,2615560,2615583,24,102082,2615573,7347,1497
1461,2618239,2618261,23,102095,2618251,7406,2678
1462,2618562,2618586,25,102065,2618575,7205,324
1463,2618895,2618918,24,101962,2618907,7216,332
1464,2619880,2619902,23,102069,2619892,7343,985
1465,2622189,2622211,23,102089,2622201,7336,2309
1466,2622563,2622586,24,101686,2622575,7164,374
1467,2624572,2624594,23,102055,2624584,7343,2009
1468,2625250,2625273,24,102007,2625262,7300,678
1469,2625507,2625531,25,101877,2625520,7056,258
1470,2626163,2626186,24,101981,2626176,7324,656
1471,2626487,2626510,24,101970,2626500,7186,324
1472,2629729,2629752,24,102109,2629741,7312,3241
1473,2630035,2630057,23,102265,2630047,7234,306
1474,2633782,2633804,23,102942,2633794,7449,3747
1475,2634100,2634123,24,102222,2634113,7277,319
1476,2635502,2635525,24,102900,2635515,7428,1402
1477,2637163,2637186,24,103047,2637176,7415,1661
1478,2638444,2638467,24,102973,2638457,7421,1281
1479,2640571,2640593,23,107309,2640583,7856,2126
1480,2641685,2641707,23,107179,2641697,7882,1114
1481,2641957,2641980,24,102447,2641970,7262,273
1482,2644123,2644145,23,107243,2644135,7814,2165
1483,2644544,2644567,24,103432,2644557,7459,422
1484,2645289,2645311,23,107027,2645301,7809,744
1485,2646004,2646026,23,106971,2646016,7852,715
1486,2647921,2647944,24,107290,2647934,7809,1918
1487,2650588,2650610,23,108327,2650600,7977,2666
1488,2653255,2653277,23,108320,2653267,7915,2667
1489,2654145,2654167,23,108379,2654157,8006,890
1490,2654607,2654629,23,105737,2654619,7797,462
1491,2654929,2654952,24,102614,2654942,7405,323
1492,2657250,2657272,23,108318,2657262,7926,2320
1493,2657643,2657665,23,103483,2657655,7527,393
1494,2658031,2658053,23,103426,2658043,7557,388
1495,2659994,2660016,23,108992,2660006,8108,1963
1496,2662154,2662176,23,108934,2662166,8039,2160
1497,2662502,2662524,23,102951,2662514,7451,348
1498,2664436,2664458,23,108980,2664448,8066,1934
1499,2665231,2665253,23,108960,2665243,8093,795
1500,2666484,2666506,23,108926,2666496,8058,1253
1501,2668141,2668163,23,109033,2668153,8101,1657
1502,2668470,2668493,24,102704,2668482,7368,329
1503,2669493,2669515,23,108959,2669505,8057,1023
1504,2671206,2671228,23,108884,2671218,8042,1713
1505,2673476,2673498,23,108846,2673488,8038,2270
1506,2674282,2674303,22,108752,2674293,7957,805
1507,2674907,2674929,23,108487,2674919,7968,626
1508,2675616,2675638,23,108657,2675628,8005,709
1509,2676434,2676456,23,108884,2676446,8027,818
1510,2676746,2676769,24,102557,2676758,7344,312
1511,2677501,2677523,23,108739,2677513,7988,755
1512,2679027,2679049,23,108861,2679039,8014,1526
1513,2679455,2679477,23,105239,2679467,7725,428
1514,2680836,2680858,23,106855,2680848,7780,1381
1515,2681733,2681755,23,106810,2681745,7797,897
1516,2683267,2683289,23,106930,2683279,7833,1534
1517,2684189,2684211,23,106902,2684201,7847,922
1518,2684809,2684831,23,106087,2684821,7778,620
1519,2685433,2685455,23,106149,2685445,7809,624
1520,2686138,2686161,24,106521,2686151,7721,706
1521,2686843,2686865,23,106608,2686855,7785,704
1522,2687397,2687419,23,105356,2687409,7668,554
