ID,startBin#,endBin#,width(bins),totalSpikeCount,peakBin,peakHeight(spikes),Interval(bins)
759,1828424,1828448,25,101156,1828437,6988,396
760,1828895,1828919,25,101824,1828908,7051,471
761,1831928,1831951,24,101674,1831941,7082,3033
762,1834168,1834192,25,101685,1834181,6989,2240
763,1835887,1835910,24,101630,1835900,7050,1719
764,1836213,1836238,26,97805,1836227,6674,327
765,1839173,1839196,24,101615,1839186,7068,2959
766,1841734,1841758,25,102481,1841747,7195,2561
767,1842377,1842400,24,102458,1842390,7263,643
768,1843119,1843142,24,102409,1843132,7194,742
769,1844027,1844050,24,102477,1844040,7276,908
770,1844384,1844408,25,101768,1844397,7105,357
771,1845530,1845553,24,102486,1845543,7270,1146
772,1846959,1846982,24,102455,1846972,7172,1429
773,1849419,1849443,25,102468,1849432,7276,2460
774,1850316,1850339,24,102823,1850329,7291,897
775,1851417,1851440,24,102815,1851430,7235,1101
776,1853767,1853790,24,102798,1853779,7312,2349
777,1854458,1854481,24,102732,1854471,7246,692
778,1855014,1855037,24,102820,1855027,7378,556
779,1856947,1856970,24,102788,1856960,7280,1933
780,1858121,1858144,24,102803,1858133,7277,1173
781,1858686,1858709,24,102756,1858699,7265,566
782,1860926,1860949,24,103180,1860939,7400,2240
783,1868111,1868134,24,103153,1868123,7354,7184
784,1869333,1869356,24,103159,1869345,7309,1222
785,1869962,1869985,24,103133,1869975,7372,630
786,1871802,1871824,23,104153,1871814,7551,1839
787,1872849,1872872,24,104286,1872862,7530,1048
788,1873155,1873179,25,102514,1873168,7235,306
789,1873410,1873433,24,99681,1873423,6907,255
790,1874037,1874059,23,104099,1874049,7586,626
791,1875087,1875110,24,104262,1875099,7508,1050
792,1875864,1875887,24,104207,1875877,7602,778
793,1876228,1876251,24,102912,1876241,7353,364
794,1877079,1877102,24,104226,1877092,7483,851
795,1877890,1877912,23,104194,1877902,7563,810
796,1878261,1878284,24,102953,1878274,7397,372
797,1878569,1878592,24,102438,1878582,7209,308
798,1878908,1878931,24,102700,1878920,7232,338
799,1880231,1880254,24,103217,1880244,7360,1324
800,1882515,1882538,24,103213,1882528,7377,2284
801,1882976,1882999,24,102867,1882988,7267,460
